Antecedent,Consequent,Support,Support_Percentage,Confidence,Lift
"('HAND WARMER BIRD DESIGN',)","('HAND WARMER OWL DESIGN',)",292,2.0753375977256576,0.5647969052224371,0.0010382296051883037
"('HAND WARMER OWL DESIGN',)","('HAND WARMER BIRD DESIGN',)",292,2.0753375977256576,0.5367647058823529,0.0010382296051883037
"('HAND WARMER OWL DESIGN',)","('HAND WARMER SCOTTY DOG DESIGN',)",299,2.125088841506752,0.5496323529411765,0.0010350891769137034
"('HAND WARMER SCOTTY DOG DESIGN',)","('HAND WARMER OWL DESIGN',)",299,2.125088841506752,0.5630885122410546,0.0010350891769137034
"('PLASTERS IN TIN WOODLAND ANIMALS',)","('PLASTERS IN TIN SPACEBOY',)",275,1.9545131485429992,0.5169172932330827,0.0008501929165017808
"('JUMBO STORAGE BAG SKULLS',)","('JUMBO STORAGE BAG SUKI',)",273,1.9402985074626864,0.5,0.0005208333333333333
"('PINK BLUE FELT CRAFT TRINKET BOX',)","('PINK CREAM FELT CRAFT TRINKET BOX',)",347,2.466240227434257,0.6174377224199288,0.0008782897900710225
"('WOOD 2 DRAWER CABINET WHITE FINISH',)","('WOODEN FRAME ANTIQUE WHITE',)",297,2.110874200426439,0.513840830449827,0.000517984708114745
"('WOOD 2 DRAWER CABINET WHITE FINISH',)","('WOOD S/3 CABINET ANT WHITE FINISH',)",353,2.5088841506751955,0.610726643598616,0.0009410271858222125
"('WOOD S/3 CABINET ANT WHITE FINISH',)","('WOOD 2 DRAWER CABINET WHITE FINISH',)",353,2.5088841506751955,0.5439137134052389,0.0009410271858222125
"('VINTAGE HEADS AND TAILS CARD GAME',)","('VINTAGE SNAP CARDS',)",334,2.3738450604122248,0.5748709122203098,0.0007584048973882715
"('PACK OF 60 DINOSAUR CAKE CASES',)","('60 TEATIME FAIRY CAKE CASES',)",357,2.5373134328358207,0.5852459016393443,0.000516545367731107
"('72 SWEETHEART FAIRY CAKE CASES',)","('60 TEATIME FAIRY CAKE CASES',)",361,2.5657427149964462,0.5254730713245997,0.0004637891185565752
"('LUNCH BAG PINK RETROSPOT',)","('LUNCH BAG RED SPOTTY',)",394,2.8002842928216065,0.5426997245179064,0.0005139201936722598
"('SWEETHEART CERAMIC TRINKET BOX',)","('STRAWBERRY CERAMIC TRINKET BOX',)",622,4.420753375977257,0.7726708074534161,0.0005961966106893643
"('WOODEN FRAME ANTIQUE WHITE',)","('WOODEN PICTURE FRAME WHITE FINISH',)",554,3.937455579246624,0.5584677419354839,0.0006920294199944038
"('WOODEN PICTURE FRAME WHITE FINISH',)","('WOODEN FRAME ANTIQUE WHITE',)",554,3.937455579246624,0.6864931846344485,0.0006920294199944038
"('HEART OF WICKER SMALL',)","('HEART OF WICKER LARGE',)",491,3.489694385216773,0.572928821470245,0.0005798874711237298
"('PACK OF 60 PINK PAISLEY CAKE CASES',)","('60 TEATIME FAIRY CAKE CASES',)",468,3.3262260127931773,0.5064935064935064,0.0004470375167639069
"('LOVE BUILDING BLOCK WORD',)","('HOME BUILDING BLOCK WORD',)",522,3.7100213219616207,0.5559105431309904,0.00048130782955064106
"('RED HANGING HEART T-LIGHT HOLDER',)","('WHITE HANGING HEART T-LIGHT HOLDER',)",722,5.1314854299928925,0.7382413087934561,0.00025421532671950965
"('HAND WARMER BIRD DESIGN', 'HAND WARMER UNION JACK')","('HAND WARMER SCOTTY DOG DESIGN',)",101,0.7178393745557924,0.5642458100558659,0.0010626098117812917
"('HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER UNION JACK')","('HAND WARMER BIRD DESIGN',)",101,0.7178393745557924,0.554945054945055,0.001073394690415967
"('HAND WARMER BIRD DESIGN', 'HAND WARMER UNION JACK')","('HAND WARMER OWL DESIGN',)",125,0.8884150675195452,0.6983240223463687,0.0012836838646072954
"('HAND WARMER OWL DESIGN', 'HAND WARMER UNION JACK')","('HAND WARMER BIRD DESIGN',)",125,0.8884150675195452,0.5980861244019139,0.0011568396990365838
"('HAND WARMER OWL DESIGN', 'HAND WARMER UNION JACK')","('HAND WARMER SCOTTY DOG DESIGN',)",120,0.8528784648187633,0.5741626794258373,0.0010812856486362285
"('HAND WARMER SCOTTY DOG DESIGN', 'HAND WARMER UNION JACK')","('HAND WARMER OWL DESIGN',)",120,0.8528784648187633,0.6593406593406593,0.0012120232708468003
"('BLUE 3 PIECE MINI DOTS CUTLERY SET', 'PINK 3 PIECE MINI DOTS CUTLERY SET')","('RED 3 PIECE MINI DOTS CUTLERY SET',)",187,1.3290689410092396,0.6538461538461539,0.0014307355664029625
"('BLUE 3 PIECE MINI DOTS CUTLERY SET', 'RED 3 PIECE MINI DOTS CUTLERY SET')","('PINK 3 PIECE MINI DOTS CUTLERY SET',)",187,1.3290689410092396,0.6338983050847458,0.0015385881191377325
"('PINK 3 PIECE MINI DOTS CUTLERY SET', 'RED 3 PIECE MINI DOTS CUTLERY SET')","('BLUE 3 PIECE MINI DOTS CUTLERY SET',)",187,1.3290689410092396,0.7857142857142857,0.0017696267696267697
"('PLASTERS IN TIN STRONGMAN', 'PLASTERS IN TIN WOODLAND ANIMALS')","('PLASTERS IN TIN CIRCUS PARADE',)",103,0.7320540156361052,0.6477987421383647,0.0010796645702306079
"('PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN STRONGMAN')","('PLASTERS IN TIN SPACEBOY',)",134,0.9523809523809524,0.5726495726495726,0.0009418578497525866
"('PLASTERS IN TIN SPACEBOY', 'PLASTERS IN TIN STRONGMAN')","('PLASTERS IN TIN CIRCUS PARADE',)",134,0.9523809523809524,0.6836734693877551,0.001139455782312925
"('CERAMIC STRAWBERRY CAKE MONEY BANK', 'STRAWBERRY CERAMIC TRINKET BOX')","('SWEETHEART CERAMIC TRINKET BOX',)",127,0.9026297085998579,0.6649214659685864,0.0008259893987187408
"('CERAMIC STRAWBERRY CAKE MONEY BANK', 'SWEETHEART CERAMIC TRINKET BOX')","('STRAWBERRY CERAMIC TRINKET BOX',)",127,0.9026297085998579,0.8819444444444444,0.0006805126886145405
"('JUMBO BAG STRAWBERRY', 'JUMBO BAG TOYS')","('JUMBO STORAGE BAG SUKI',)",104,0.7391613361762616,0.574585635359116,0.0005985267034990791
"('JUMBO BAG TOYS', 'JUMBO STORAGE BAG SUKI')","('JUMBO BAG STRAWBERRY',)",104,0.7391613361762616,0.5842696629213483,0.0006715743251969521
"('BATHROOM METAL SIGN', 'WHITE HANGING HEART T-LIGHT HOLDER')","('TOILET METAL SIGN',)",120,0.8528784648187633,0.5911330049261084,0.0013683634373289546
"('TOILET METAL SIGN', 'WHITE HANGING HEART T-LIGHT HOLDER')","('BATHROOM METAL SIGN',)",120,0.8528784648187633,0.8333333333333334,0.0012550200803212851
"('CHOCOLATE THIS WAY METAL SIGN', 'COOK WITH WINE METAL SIGN')","('GIN + TONIC DIET METAL SIGN',)",100,0.7107320540156361,0.6410256410256411,0.0008650818367417558
"('CHOCOLATE THIS WAY METAL SIGN', 'GIN + TONIC DIET METAL SIGN')","('COOK WITH WINE METAL SIGN',)",100,0.7107320540156361,0.5847953216374269,0.0009223900972199163
"('CHOCOLATE THIS WAY METAL SIGN', 'GIN + TONIC DIET METAL SIGN')","('HAND OVER THE CHOCOLATE   SIGN',)",105,0.7462686567164178,0.6140350877192983,0.0008457783577400802
"('CHOCOLATE THIS WAY METAL SIGN', 'HAND OVER THE CHOCOLATE   SIGN')","('GIN + TONIC DIET METAL SIGN',)",105,0.7462686567164178,0.5303030303030303,0.0007156586103954525
"('72 SWEETHEART FAIRY CAKE CASES', 'PACK OF 60 MUSHROOM CAKE CASES')","('PACK OF 60 PINK PAISLEY CAKE CASES',)",104,0.7391613361762616,0.6666666666666666,0.0007215007215007215
"('60 TEATIME FAIRY CAKE CASES', 'PACK OF 60 MUSHROOM CAKE CASES')","('72 SWEETHEART FAIRY CAKE CASES',)",109,0.7746979388770434,0.5343137254901961,0.0007777492365213917
"('72 SWEETHEART FAIRY CAKE CASES', 'PACK OF 60 MUSHROOM CAKE CASES')","('60 TEATIME FAIRY CAKE CASES',)",109,0.7746979388770434,0.6987179487179487,0.0006166972186389662
"('PACK OF 60 MUSHROOM CAKE CASES', 'PACK OF 72 RETRO SPOT CAKE CASES')","('PACK OF 60 PINK PAISLEY CAKE CASES',)",104,0.7391613361762616,0.5591397849462365,0.0006051296373877019
"('60 TEATIME FAIRY CAKE CASES', 'PACK OF 60 MUSHROOM CAKE CASES')","('PACK OF 72 RETRO SPOT CAKE CASES',)",110,0.7818052594171997,0.5392156862745098,0.00046685340802987864
"('PACK OF 60 MUSHROOM CAKE CASES', 'PACK OF 72 RETRO SPOT CAKE CASES')","('60 TEATIME FAIRY CAKE CASES',)",110,0.7818052594171997,0.5913978494623656,0.0005219751539826704
"('PACK OF 60 DINOSAUR CAKE CASES', 'PACK OF 60 MUSHROOM CAKE CASES')","('PACK OF 60 PINK PAISLEY CAKE CASES',)",101,0.7178393745557924,0.5372340425531915,0.0005814221239753154
"('60 TEATIME FAIRY CAKE CASES', 'PACK OF 60 MUSHROOM CAKE CASES')","('PACK OF 60 DINOSAUR CAKE CASES',)",123,0.8742004264392323,0.6029411764705882,0.0009884281581485053
"('PACK OF 60 DINOSAUR CAKE CASES', 'PACK OF 60 MUSHROOM CAKE CASES')","('60 TEATIME FAIRY CAKE CASES',)",123,0.8742004264392323,0.6542553191489362,0.0005774539445268633
"('60 TEATIME FAIRY CAKE CASES', 'PACK OF 60 MUSHROOM CAKE CASES')","('PACK OF 60 PINK PAISLEY CAKE CASES',)",131,0.9310589907604833,0.6421568627450981,0.0006949749596808421
"('PACK OF 60 MUSHROOM CAKE CASES', 'PACK OF 60 PINK PAISLEY CAKE CASES')","('60 TEATIME FAIRY CAKE CASES',)",131,0.9310589907604833,0.6150234741784038,0.0005428274264593149
"('3 STRIPEY MICE FELTCRAFT', 'FELTCRAFT 6 FLOWER FRIENDS')","('FELTCRAFT BUTTERFLY HEARTS',)",122,0.867093105899076,0.5700934579439252,0.0009300056410178226
"('3 STRIPEY MICE FELTCRAFT', 'FELTCRAFT BUTTERFLY HEARTS')","('FELTCRAFT 6 FLOWER FRIENDS',)",122,0.867093105899076,0.5865384615384616,0.0007872999483737739
"('SINGLE HEART ZINC T-LIGHT HOLDER', 'WHITE HANGING HEART T-LIGHT HOLDER')","('HANGING HEART ZINC T-LIGHT HOLDER',)",115,0.8173418621179815,0.6424581005586593,0.0008824973908772791
"('PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN SKULLS')","('PLASTERS IN TIN SPACEBOY',)",107,0.7604832977967306,0.601123595505618,0.0009886901241868717
"('PLASTERS IN TIN SKULLS', 'PLASTERS IN TIN VINTAGE PAISLEY')","('PLASTERS IN TIN SPACEBOY',)",104,0.7391613361762616,0.5279187817258884,0.0008682874699438952
"('PLASTERS IN TIN SKULLS', 'PLASTERS IN TIN SPACEBOY')","('PLASTERS IN TIN WOODLAND ANIMALS',)",122,0.867093105899076,0.5674418604651162,0.0010666200384682636
"('PLASTERS IN TIN SKULLS', 'PLASTERS IN TIN WOODLAND ANIMALS')","('PLASTERS IN TIN SPACEBOY',)",122,0.867093105899076,0.580952380952381,0.0009555137844611529
"('CREAM CUPID HEARTS COAT HANGER', 'WOODEN FRAME ANTIQUE WHITE')","('WOODEN PICTURE FRAME WHITE FINISH',)",116,0.8244491826581379,0.7837837837837838,0.0009712314545028299
"('CREAM CUPID HEARTS COAT HANGER', 'WOODEN PICTURE FRAME WHITE FINISH')","('WOODEN FRAME ANTIQUE WHITE',)",116,0.8244491826581379,0.7945205479452054,0.0008009279717189571
"('LUNCH BAG RED SPOTTY', 'STRAWBERRY CHARLOTTE BAG')","('RED SPOTTY CHARLOTTE BAG',)",103,0.7320540156361052,0.7152777777777778,0.0012226970560303893
"('RED SPOTTY CHARLOTTE BAG', 'WOODLAND CHARLOTTE BAG')","('STRAWBERRY CHARLOTTE BAG',)",119,0.845771144278607,0.53125,0.0010540674603174603
"('STRAWBERRY CHARLOTTE BAG', 'WOODLAND CHARLOTTE BAG')","('RED SPOTTY CHARLOTTE BAG',)",119,0.845771144278607,0.6230366492146597,0.0010650199131874525
"('JUMBO BAG SPACEBOY DESIGN', 'LUNCH BAG SPACEBOY DESIGN')","('LUNCH BAG SUKI  DESIGN',)",101,0.7178393745557924,0.5706214689265536,0.0005993922992925984
"('JUMBO BAG SPACEBOY DESIGN', 'LUNCH BAG SUKI  DESIGN')","('LUNCH BAG SPACEBOY DESIGN',)",101,0.7178393745557924,0.6644736842105263,0.0007309941520467836
"('JUMBO BAG SPACEBOY DESIGN', 'JUMBO BAG STRAWBERRY')","('JUMBO STORAGE BAG SUKI',)",102,0.7249466950959489,0.6496815286624203,0.0006767515923566879
"('JUMBO BAG RED RETROSPOT', 'JUMBO BAG SPACEBOY DESIGN')","('JUMBO STORAGE BAG SUKI',)",105,0.7462686567164178,0.5965909090909091,0.0006214488636363636
"('JUMBO BAG SPACEBOY DESIGN', 'JUMBO SHOPPER VINTAGE RED PAISLEY')","('JUMBO BAG PINK WITH WHITE SPOTS',)",101,0.7178393745557924,0.5,0.0007062146892655367
"('JUMBO BAG SPACEBOY DESIGN', 'JUMBO SHOPPER VINTAGE RED PAISLEY')","('JUMBO STORAGE BAG SUKI',)",125,0.8884150675195452,0.6188118811881188,0.0006445957095709571
"('JUMBO BAG SPACEBOY DESIGN', 'JUMBO STORAGE BAG SUKI')","('JUMBO SHOPPER VINTAGE RED PAISLEY',)",125,0.8884150675195452,0.5296610169491526,0.000581406165696106
"('JUMBO BAG PINK WITH WHITE SPOTS', 'JUMBO BAG SPACEBOY DESIGN')","('JUMBO STORAGE BAG SUKI',)",111,0.7889125799573561,0.5414634146341464,0.0005640243902439024
"('72 SWEETHEART FAIRY CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES')","('PACK OF 60 DINOSAUR CAKE CASES',)",100,0.7107320540156361,0.6578947368421053,0.0010785159620362382
"('72 SWEETHEART FAIRY CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES')","('60 TEATIME FAIRY CAKE CASES',)",104,0.7391613361762616,0.6842105263157895,0.0006038927858038742
"('PACK OF 60 SPACEBOY CAKE CASES', 'PACK OF 72 SKULL CAKE CASES')","('PACK OF 60 DINOSAUR CAKE CASES',)",101,0.7178393745557924,0.5838150289017341,0.0009570738178716953
"('PACK OF 60 SPACEBOY CAKE CASES', 'PACK OF 72 SKULL CAKE CASES')","('60 TEATIME FAIRY CAKE CASES',)",103,0.7320540156361052,0.5953757225433526,0.0005254860746190226
"('PACK OF 60 PINK PAISLEY CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES')","('PACK OF 72 RETRO SPOT CAKE CASES',)",103,0.7320540156361052,0.5024390243902439,0.0004350121423292155
"('PACK OF 60 SPACEBOY CAKE CASES', 'PACK OF 72 RETRO SPOT CAKE CASES')","('PACK OF 60 PINK PAISLEY CAKE CASES',)",103,0.7320540156361052,0.5392670157068062,0.0005836223113710024
"('PACK OF 60 SPACEBOY CAKE CASES', 'PACK OF 72 RETRO SPOT CAKE CASES')","('60 TEATIME FAIRY CAKE CASES',)",110,0.7818052594171997,0.5759162303664922,0.0005083108829360037
"('PACK OF 60 DINOSAUR CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES')","('PACK OF 60 PINK PAISLEY CAKE CASES',)",113,0.8031272210376688,0.5231481481481481,0.0005661776495109828
"('PACK OF 60 PINK PAISLEY CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES')","('PACK OF 60 DINOSAUR CAKE CASES',)",113,0.8031272210376688,0.551219512195122,0.0009036385445821671
"('60 TEATIME FAIRY CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES')","('PACK OF 60 PINK PAISLEY CAKE CASES',)",138,0.9808102345415779,0.5587044534412956,0.0006046584993953415
"('PACK OF 60 PINK PAISLEY CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES')","('60 TEATIME FAIRY CAKE CASES',)",138,0.9808102345415779,0.6731707317073171,0.0005941489247196091
"('60 TEATIME FAIRY CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES')","('PACK OF 60 DINOSAUR CAKE CASES',)",142,1.0092395167022032,0.5748987854251012,0.0009424570252870512
"('PACK OF 60 DINOSAUR CAKE CASES', 'PACK OF 60 SPACEBOY CAKE CASES')","('60 TEATIME FAIRY CAKE CASES',)",142,1.0092395167022032,0.6574074074074074,0.000580236017129221
"('HAND WARMER BIRD DESIGN', 'HAND WARMER OWL DESIGN')","('HAND WARMER SCOTTY DOG DESIGN',)",172,1.2224591329068941,0.589041095890411,0.0011093052653303407
"('HAND WARMER BIRD DESIGN', 'HAND WARMER SCOTTY DOG DESIGN')","('HAND WARMER OWL DESIGN',)",172,1.2224591329068941,0.6771653543307087,0.001244789254284391
"('HAND WARMER OWL DESIGN', 'HAND WARMER SCOTTY DOG DESIGN')","('HAND WARMER BIRD DESIGN',)",172,1.2224591329068941,0.5752508361204013,0.0011126708629021302
"('JUMBO BAG OWLS', 'JUMBO BAG RED RETROSPOT')","('JUMBO STORAGE BAG SUKI',)",112,0.7960199004975124,0.6187845303867403,0.0006445672191528545
"('JUMBO BAG OWLS', 'JUMBO BAG STRAWBERRY')","('JUMBO STORAGE BAG SUKI',)",115,0.8173418621179815,0.6117021276595744,0.0006371897163120568
"('PLASTERS IN TIN VINTAGE PAISLEY', 'PLASTERS IN TIN WOODLAND ANIMALS')","('PLASTERS IN TIN SPACEBOY',)",113,0.8031272210376688,0.5885416666666666,0.0009679961622807017
"('PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN SPACEBOY')","('PLASTERS IN TIN WOODLAND ANIMALS',)",145,1.0305614783226724,0.5034722222222222,0.000946376357560568
"('PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN WOODLAND ANIMALS')","('PLASTERS IN TIN SPACEBOY',)",145,1.0305614783226724,0.5991735537190083,0.00098548281861679
"('PLASTERS IN TIN SPACEBOY', 'PLASTERS IN TIN WOODLAND ANIMALS')","('PLASTERS IN TIN CIRCUS PARADE',)",145,1.0305614783226724,0.5272727272727272,0.0008787878787878787
"('PLASTERS IN TIN CIRCUS PARADE', 'PLASTERS IN TIN VINTAGE PAISLEY')","('PLASTERS IN TIN SPACEBOY',)",117,0.8315565031982943,0.6030927835051546,0.000991928920238741
"('HAND OVER THE CHOCOLATE   SIGN', 'LADIES & GENTLEMEN METAL SIGN')","('NO SINGING METAL SIGN',)",105,0.7462686567164178,0.5675675675675675,0.0009475251545368406
"('LADIES & GENTLEMEN METAL SIGN', 'NO SINGING METAL SIGN')","('HAND OVER THE CHOCOLATE   SIGN',)",105,0.7462686567164178,0.5526315789473685,0.0007612005219660722
"('JUMBO SHOPPER VINTAGE RED PAISLEY', 'JUMBO STORAGE BAG SKULLS')","('JUMBO STORAGE BAG SUKI',)",100,0.7107320540156361,0.5988023952095808,0.00062375249500998
"('JUMBO BAG PINK WITH WHITE SPOTS', 'JUMBO STORAGE BAG SKULLS')","('JUMBO STORAGE BAG SUKI',)",106,0.7533759772565742,0.6235294117647059,0.0006495098039215686
"('JUMBO BAG STRAWBERRY', 'JUMBO STORAGE BAG SKULLS')","('JUMBO STORAGE BAG SUKI',)",117,0.8315565031982943,0.6724137931034483,0.0007004310344827586
"('JUMBO BAG RED RETROSPOT', 'JUMBO STORAGE BAG SKULLS')","('JUMBO STORAGE BAG SUKI',)",104,0.7391613361762616,0.574585635359116,0.0005985267034990791
"('JUMBO  BAG BAROQUE BLACK WHITE', 'JUMBO STORAGE BAG SKULLS')","('JUMBO STORAGE BAG SUKI',)",124,0.8813077469793886,0.6775956284153005,0.0007058287795992715
"('FELTCRAFT BUTTERFLY HEARTS', 'PINK BLUE FELT CRAFT TRINKET BOX')","('PINK CREAM FELT CRAFT TRINKET BOX',)",112,0.7960199004975124,0.7225806451612903,0.00102785298031478
"('FELTCRAFT BUTTERFLY HEARTS', 'PINK CREAM FELT CRAFT TRINKET BOX')","('PINK BLUE FELT CRAFT TRINKET BOX',)",112,0.7960199004975124,0.5863874345549738,0.0010433940116636544
"('FELTCRAFT 6 FLOWER FRIENDS', 'PINK BLUE FELT CRAFT TRINKET BOX')","('PINK CREAM FELT CRAFT TRINKET BOX',)",116,0.8244491826581379,0.725,0.001031294452347084
"('FELTCRAFT 6 FLOWER FRIENDS', 'PINK CREAM FELT CRAFT TRINKET BOX')","('PINK BLUE FELT CRAFT TRINKET BOX',)",116,0.8244491826581379,0.5771144278606966,0.001026893999752129
"('WHITE HANGING HEART T-LIGHT HOLDER', 'WOOD 2 DRAWER CABINET WHITE FINISH')","('WOODEN PICTURE FRAME WHITE FINISH',)",156,1.1087420042643923,0.5735294117647058,0.0007106931992127706
"('WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH')","('WHITE HANGING HEART T-LIGHT HOLDER',)",156,1.1087420042643923,0.5611510791366906,0.0001932338426779238
"('WHITE HANGING HEART T-LIGHT HOLDER', 'WOOD 2 DRAWER CABINET WHITE FINISH')","('WOODEN FRAME ANTIQUE WHITE',)",163,1.1584932480454868,0.5992647058823529,0.000604097485768501
"('WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE')","('WHITE HANGING HEART T-LIGHT HOLDER',)",163,1.1584932480454868,0.5488215488215489,0.00018898813664653885
"('WHITE HANGING HEART T-LIGHT HOLDER', 'WOOD 2 DRAWER CABINET WHITE FINISH')","('WOOD S/3 CABINET ANT WHITE FINISH',)",174,1.236673773987207,0.6397058823529411,0.0009856793256593855
"('WHITE HANGING HEART T-LIGHT HOLDER', 'WOOD S/3 CABINET ANT WHITE FINISH')","('WOOD 2 DRAWER CABINET WHITE FINISH',)",174,1.236673773987207,0.6105263157894737,0.0010562739027499544
"('WOOD 2 DRAWER CABINET WHITE FINISH', 'WOOD S/3 CABINET ANT WHITE FINISH')","('WOODEN PICTURE FRAME WHITE FINISH',)",208,1.4783226723525231,0.5892351274787535,0.0007301550526378607
"('WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH')","('WOOD S/3 CABINET ANT WHITE FINISH',)",208,1.4783226723525231,0.7482014388489209,0.0011528527563157485
"('WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH')","('WOOD 2 DRAWER CABINET WHITE FINISH',)",208,1.4783226723525231,0.7969348659003831,0.0013787800448103514
"('WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE')","('WOODEN PICTURE FRAME WHITE FINISH',)",232,1.6488983653162759,0.7811447811447811,0.0009679613149253793
"('WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH')","('WOODEN FRAME ANTIQUE WHITE',)",232,1.6488983653162759,0.8345323741007195,0.0008412624738918542
"('WOOD 2 DRAWER CABINET WHITE FINISH', 'WOOD S/3 CABINET ANT WHITE FINISH')","('WOODEN FRAME ANTIQUE WHITE',)",224,1.5920398009950247,0.6345609065155807,0.000639678333181029
"('WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE')","('WOOD S/3 CABINET ANT WHITE FINISH',)",224,1.5920398009950247,0.7542087542087542,0.0011621090203524718
"('WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE')","('WOOD 2 DRAWER CABINET WHITE FINISH',)",224,1.5920398009950247,0.7133757961783439,0.0012342141802393495
"('COOK WITH WINE METAL SIGN', 'NO SINGING METAL SIGN')","('GIN + TONIC DIET METAL SIGN',)",104,0.7391613361762616,0.6011560693641619,0.0008112767467802454
"('COOK WITH WINE METAL SIGN', 'NO SINGING METAL SIGN')","('HAND OVER THE CHOCOLATE   SIGN',)",104,0.7391613361762616,0.6011560693641619,0.0008280386630360356
"('NO SINGING METAL SIGN', 'PLEASE ONE PERSON METAL SIGN')","('GIN + TONIC DIET METAL SIGN',)",102,0.7249466950959489,0.5284974093264249,0.0007132218749344465
"('GIN + TONIC DIET METAL SIGN', 'NO SINGING METAL SIGN')","('HAND OVER THE CHOCOLATE   SIGN',)",127,0.9026297085998579,0.5772727272727273,0.0007951414976208364
"('HAND OVER THE CHOCOLATE   SIGN', 'NO SINGING METAL SIGN')","('GIN + TONIC DIET METAL SIGN',)",127,0.9026297085998579,0.516260162601626,0.0006967073719320189
