Itemset,Size,Support_Count,Support_Percentage,Support_Decimal
HAND OVER THE CHOCOLATE   SIGN,1,726,5.16%,0.05159914712153518
ZINC METAL HEART DECORATION,1,779,5.54%,0.05536602700781805
PARTY METAL SIGN,1,432,3.07%,0.03070362473347548
GRAND CHOCOLATECANDLE,1,559,3.97%,0.03972992181947406
NO SINGING METAL SIGN,1,599,4.26%,0.042572850035536604
DOOR MAT NEW ENGLAND,1,407,2.89%,0.02892679459843639
RIBBON REEL STRIPES DESIGN,1,490,3.48%,0.03482587064676617
COOK WITH WINE METAL SIGN,1,634,4.51%,0.045060412224591326
POTTERING IN THE SHED METAL SIGN,1,485,3.45%,0.03447050461975835
6 RIBBONS RUSTIC CHARM,1,649,4.61%,0.046126510305614786
I CAN ONLY PLEASE ONE PERSON MUG,1,413,2.94%,0.02935323383084577
WOODEN BOX OF DOMINOES,1,429,3.05%,0.03049040511727079
KNITTED UNION FLAG HOT WATER BOTTLE,1,483,3.43%,0.034328358208955224
GREY HEART HOT WATER BOTTLE,1,439,3.12%,0.031201137171286426
POTTING SHED TEA MUG,1,473,3.36%,0.03361762615493959
GIN + TONIC DIET METAL SIGN,1,741,5.27%,0.052665245202558636
EDWARDIAN PARASOL BLACK,1,498,3.54%,0.03539445628997868
EDWARDIAN PARASOL NATURAL,1,469,3.33%,0.03333333333333333
RED SPOTTY SHOPPER BAG,1,390,2.77%,0.02771855010660981
RETRO SPOT LARGE MILK JUG,1,445,3.16%,0.031627576403695803
PACK OF 60 MUSHROOM CAKE CASES,1,441,3.13%,0.03134328358208955
SET/5 RED SPOTTY LID GLASS BOWLS,1,764,5.43%,0.0542999289267946
RED GINGHAM ROSE JEWELLERY BOX,1,553,3.93%,0.039303482587064675
PACK 20 ENGLISH ROSE PAPER NAPKINS,1,476,3.38%,0.03383084577114428
REX CASH+CARRY JUMBO SHOPPER,1,999,7.10%,0.07100213219616204
LUNCH BAG  BLACK SKULL.,1,963,6.84%,0.06844349680170576
CREAM HEART CARD HOLDER,1,676,4.80%,0.048045486851457
FELTCRAFT BUTTERFLY HEARTS,1,613,4.36%,0.043567874911158495
3 STRIPEY MICE FELTCRAFT,1,447,3.18%,0.031769722814498934
JUMBO BAG WOODLAND ANIMALS,1,428,3.04%,0.030419331911869227
JUMBO BAG OWLS,1,525,3.73%,0.03731343283582089
SET/20 RED SPOTTY PAPER NAPKINS,1,765,5.44%,0.054371002132196165
TEA TIME CAKE STAND IN GIFT BOX,1,454,3.23%,0.03226723525230988
JUMBO  BAG BAROQUE BLACK WHITE,1,807,5.74%,0.05735607675906183
"KEY FOB , SHED",1,396,2.81%,0.02814498933901919
12 PENCILS SMALL TUBE SKULL,1,401,2.85%,0.02850035536602701
WOODEN PICTURE FRAME WHITE FINISH,1,807,5.74%,0.05735607675906183
VINTAGE UNION JACK CUSHION COVER,1,446,3.17%,0.03169864960909737
VINTAGE UNION JACK BUNTING,1,723,5.14%,0.05138592750533049
SET OF 72 RETRO SPOT PAPER  DOILIES,1,449,3.19%,0.031911869225302064
WORLD WAR 2 GLIDERS ASSTD DESIGNS,1,435,3.09%,0.03091684434968017
PARTY BUNTING,1,679,4.83%,0.04825870646766169
72 SWEETHEART FAIRY CAKE CASES,1,687,4.88%,0.0488272921108742
HEART IVORY TRELLIS SMALL,1,435,3.09%,0.03091684434968017
JUMBO BAG STRAWBERRY,1,870,6.18%,0.06183368869936034
PACK OF 72 SKULL CAKE CASES,1,664,4.72%,0.04719260838663824
PACK OF 60 DINOSAUR CAKE CASES,1,610,4.34%,0.0433546552949538
COLOUR GLASS T-LIGHT HOLDER HANGING,1,561,3.99%,0.03987206823027718
BEWARE OF THE CAT METAL SIGN,1,423,3.01%,0.030063965884861408
SET OF 3 HEART COOKIE CUTTERS,1,430,3.06%,0.030561478322672354
STRAWBERRY CHARLOTTE BAG,1,504,3.58%,0.03582089552238806
TEA TIME TEA TOWELS,1,398,2.83%,0.028287135749822317
SET OF 36 TEATIME PAPER DOILIES,1,402,2.86%,0.02857142857142857
METAL 4 HOOK HANGER FRENCH CHATEAU,1,388,2.76%,0.027576403695806682
HOT BATHS METAL SIGN,1,443,3.15%,0.03148542999289268
CREAM CUPID HEARTS COAT HANGER,1,503,3.57%,0.03574982231698649
TOILET METAL SIGN,1,432,3.07%,0.03070362473347548
HANGING JAM JAR T-LIGHT HOLDER,1,496,3.53%,0.03525230987917555
SINGLE HEART ZINC T-LIGHT HOLDER,1,488,3.47%,0.03468372423596304
CHILLI LIGHTS,1,394,2.80%,0.028002842928216063
FELTCRAFT 6 FLOWER FRIENDS,1,745,5.29%,0.05294953802416489
3 HEARTS HANGING DECORATION RUSTIC,1,408,2.90%,0.028997867803837955
HANGING HEART JAR T-LIGHT HOLDER,1,509,3.62%,0.03617626154939588
PINK HAPPY BIRTHDAY BUNTING,1,441,3.13%,0.03134328358208955
DOOR MAT UNION FLAG,1,596,4.24%,0.04235963041933191
ROUND SNACK BOXES SET OF 4 FRUITS,1,533,3.79%,0.03788201847903341
ROUND SNACK BOXES SET OF4 WOODLAND,1,561,3.99%,0.03987206823027718
SPACEBOY BIRTHDAY CARD,1,418,2.97%,0.02970859985785359
TOY TIDY PINK RETROSPOT,1,405,2.88%,0.028784648187633263
RECYCLING BAG RETROSPOT,1,609,4.33%,0.04328358208955224
JUMBO BAG PINK WITH WHITE SPOTS,1,708,5.03%,0.05031982942430704
JUMBO BAG SPACEBOY DESIGN,1,504,3.58%,0.03582089552238806
JUMBO SHOPPER VINTAGE RED PAISLEY,1,911,6.47%,0.06474769012082444
METAL SIGN TAKE IT OR LEAVE IT,1,423,3.01%,0.030063965884861408
PLEASE ONE PERSON METAL SIGN,1,730,5.19%,0.051883439943141436
PACK OF 60 SPACEBOY CAKE CASES,1,511,3.63%,0.03631840796019901
LUNCH BAG PINK RETROSPOT,1,726,5.16%,0.05159914712153518
LUNCH BAG SPACEBOY DESIGN,1,909,6.46%,0.06460554371002132
LUNCH BAG SUKI  DESIGN,1,952,6.77%,0.06766169154228856
SMALL POPCORN HOLDER,1,642,4.56%,0.04562899786780384
NATURAL SLATE HEART CHALKBOARD,1,670,4.76%,0.047619047619047616
WHITE WOOD GARDEN PLANT LADDER,1,417,2.96%,0.029637526652452027
FELTCRAFT CUSHION BUTTERFLY,1,406,2.89%,0.028855721393034824
PACK OF 6 BIRDY GIFT TAGS,1,643,4.57%,0.0457000710732054
MEMO BOARD COTTAGE DESIGN,1,400,2.84%,0.028429282160625444
MEMO BOARD RETROSPOT  DESIGN,1,391,2.78%,0.02778962331201137
BAKING SET SPACEBOY DESIGN,1,469,3.33%,0.03333333333333333
REGENCY CAKESTAND 3 TIER,1,1580,11.23%,0.1122956645344705
WOODEN SCHOOL COLOURING SET,1,442,3.14%,0.03141435678749112
PLASTERS IN TIN STRONGMAN,1,422,3.00%,0.029992892679459843
PLASTERS IN TIN CIRCUS PARADE,1,600,4.26%,0.042643923240938165
PLASTERS IN TIN SPACEBOY,1,608,4.32%,0.04321250888415067
PLASTERS IN TIN WOODLAND ANIMALS,1,532,3.78%,0.03781094527363184
PLASTERS IN TIN SKULLS,1,490,3.48%,0.03482587064676617
PLASTERS IN TIN VINTAGE PAISLEY,1,537,3.82%,0.03816631130063966
GARDENERS KNEELING PAD,1,438,3.11%,0.03113006396588486
RED RETROSPOT SMALL MILK JUG,1,399,2.84%,0.028358208955223882
RED RETROSPOT CAKE STAND,1,587,4.17%,0.04171997157071784
RED RETROSPOT TRADITIONAL TEAPOT,1,382,2.71%,0.0271499644633973
WOOD BLACK BOARD ANT WHITE FINISH,1,452,3.21%,0.03212508884150675
CLOTHES PEGS RETROSPOT PACK 24,1,385,2.74%,0.02736318407960199
HEART OF WICKER SMALL,1,857,6.09%,0.060909737029140015
HEART OF WICKER LARGE,1,988,7.02%,0.07022032693674485
IVORY KITCHEN SCALES,1,442,3.14%,0.03141435678749112
JUMBO BAG RED RETROSPOT,1,1042,7.41%,0.07405828002842928
CERAMIC STRAWBERRY CAKE MONEY BANK,1,423,3.01%,0.030063965884861408
SPACEBOY LUNCH BOX,1,419,2.98%,0.029779673063255154
DOLLY GIRL LUNCH BOX,1,399,2.84%,0.028358208955223882
RECIPE BOX PANTRY YELLOW DESIGN,1,466,3.31%,0.03312011371712864
WICKER STAR,1,443,3.15%,0.03148542999289268
HAND WARMER BIRD DESIGN,1,517,3.67%,0.036744847192608385
HAND WARMER OWL DESIGN,1,544,3.87%,0.038663823738450606
HAND WARMER SCOTTY DOG DESIGN,1,531,3.77%,0.037739872068230276
SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,429,3.05%,0.03049040511727079
PAPER CHAIN KIT VINTAGE CHRISTMAS,1,586,4.16%,0.041648898365316274
HAND WARMER UNION JACK,1,401,2.85%,0.02850035536602701
"ASSORTED COLOUR BIRD ORNAMENT, HOME BUILDING BLOCK WORD",2,217,1.54%,0.015422885572139304
"ASSORTED COLOUR BIRD ORNAMENT, LOVE BUILDING BLOCK WORD",2,148,1.05%,0.010518834399431415
"HEART FILIGREE DOVE LARGE, HEART IVORY TRELLIS LARGE",2,168,1.19%,0.011940298507462687
"HOME BUILDING BLOCK WORD, LOVE BUILDING BLOCK WORD",2,522,3.71%,0.03710021321961621
"CHOCOLATE HOT WATER BOTTLE, SCOTTIE DOG HOT WATER BOTTLE",2,268,1.90%,0.01904761904761905
"FELTCRAFT DOLL ROSIE, PINK BLUE FELT CRAFT TRINKET BOX",2,121,0.86%,0.008599857853589197
"BAKING SET 9 PIECE RETROSPOT, RETRO SPOT TEA SET CERAMIC 11 PC",2,213,1.51%,0.015138592750533048
"POSTAGE, RED TOADSTOOL LED NIGHT LIGHT",2,145,1.03%,0.010305614783226724
"RED WOOLLY HOTTIE WHITE HEART., SCOTTIE DOG HOT WATER BOTTLE",2,201,1.43%,0.014285714285714285
"HEART IVORY TRELLIS LARGE, WHITE HANGING HEART T-LIGHT HOLDER",2,223,1.58%,0.015849324804548686
"SCOTTIE DOG HOT WATER BOTTLE, WHITE HANGING HEART T-LIGHT HOLDER",2,226,1.61%,0.016062544420753375
"VINTAGE SNAP CARDS, WHITE HANGING HEART T-LIGHT HOLDER",2,134,0.95%,0.009523809523809525
"BATHROOM METAL SIGN, LADIES & GENTLEMEN METAL SIGN",2,118,0.84%,0.008386638237384506
"CHOCOLATE HOT WATER BOTTLE, HOT WATER BOTTLE TEA AND SYMPATHY",2,386,2.74%,0.027434257285003552
"CHOCOLATE HOT WATER BOTTLE, WHITE HANGING HEART T-LIGHT HOLDER",2,195,1.39%,0.013859275053304905
"HEART FILIGREE DOVE  SMALL, WHITE HANGING HEART T-LIGHT HOLDER",2,200,1.42%,0.014214641080312722
"HOT WATER BOTTLE TEA AND SYMPATHY, SCOTTIE DOG HOT WATER BOTTLE",2,236,1.68%,0.016773276474769012
"HOT WATER BOTTLE TEA AND SYMPATHY, WHITE HANGING HEART T-LIGHT HOLDER",2,187,1.33%,0.013290689410092395
"JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG RED WHITE SPOTTY",2,111,0.79%,0.00788912579957356
"JUMBO BAG PINK VINTAGE PAISLEY, JUMBO BAG SCANDINAVIAN PAISLEY",2,307,2.18%,0.02181947405828003
"JUMBO BAG PINK VINTAGE PAISLEY, WHITE HANGING HEART T-LIGHT HOLDER",2,133,0.95%,0.00945273631840796
"JUMBO BAG RED WHITE SPOTTY, WHITE HANGING HEART T-LIGHT HOLDER",2,106,0.75%,0.007533759772565742
"JUMBO BAG SCANDINAVIAN PAISLEY, WHITE HANGING HEART T-LIGHT HOLDER",2,126,0.90%,0.008955223880597015
"LUNCH BAG CARS BLUE, LUNCH BAG RED SPOTTY",2,372,2.64%,0.026439232409381664
"LUNCH BAG CARS BLUE, LUNCH BAG WOODLAND",2,340,2.42%,0.024164889836531627
"LUNCH BAG CARS BLUE, RED SPOTTY CHARLOTTE BAG",2,134,0.95%,0.009523809523809525
"LUNCH BAG CARS BLUE, WHITE HANGING HEART T-LIGHT HOLDER",2,201,1.43%,0.014285714285714285
"LUNCH BAG RED SPOTTY, LUNCH BAG WOODLAND",2,346,2.46%,0.024591329068941008
"LUNCH BAG RED SPOTTY, RED SPOTTY CHARLOTTE BAG",2,210,1.49%,0.014925373134328358
"LUNCH BAG RED SPOTTY, WHITE HANGING HEART T-LIGHT HOLDER",2,242,1.72%,0.017199715707178393
"LUNCH BAG WOODLAND, RED SPOTTY CHARLOTTE BAG",2,113,0.80%,0.008031272210376687
"LUNCH BAG WOODLAND, WHITE HANGING HEART T-LIGHT HOLDER",2,187,1.33%,0.013290689410092395
"PAPER CHAIN KIT 50'S CHRISTMAS, WHITE HANGING HEART T-LIGHT HOLDER",2,156,1.11%,0.011087420042643924
"PAPER CHAIN KIT RETRO SPOT, WHITE HANGING HEART T-LIGHT HOLDER",2,105,0.75%,0.007462686567164179
"RED HANGING HEART T-LIGHT HOLDER, WHITE HANGING HEART T-LIGHT HOLDER",2,722,5.13%,0.05131485429992893
"RED SPOT HEART HOT WATER BOTTLE, SCOTTIE DOG HOT WATER BOTTLE",2,163,1.16%,0.011584932480454868
"RED SPOT HEART HOT WATER BOTTLE, WHITE HANGING HEART T-LIGHT HOLDER",2,118,0.84%,0.008386638237384506
"RED SPOTTY CHARLOTTE BAG, WHITE HANGING HEART T-LIGHT HOLDER",2,123,0.87%,0.008742004264392323
"RED SPOTTY ROUND CAKE TINS, WHITE HANGING HEART T-LIGHT HOLDER",2,115,0.82%,0.008173418621179816
"VICTORIAN GLASS HANGING T-LIGHT, WHITE HANGING HEART T-LIGHT HOLDER",2,202,1.44%,0.014356787491115849
"PAPER BUNTING RETRO SPOTS, PAPER BUNTING WHITE LACE",2,110,0.78%,0.007818052594171997
"PAPER BUNTING RETRO SPOTS, PAPER CHAIN KIT RETRO SPOT",2,162,1.15%,0.011513859275053304
"60 TEATIME FAIRY CAKE CASES, BAKING SET 9 PIECE RETROSPOT",2,105,0.75%,0.007462686567164179
"60 TEATIME FAIRY CAKE CASES, PACK OF 60 PINK PAISLEY CAKE CASES",2,468,3.33%,0.03326226012793177
"BAKING SET 9 PIECE RETROSPOT, PACK OF 60 PINK PAISLEY CAKE CASES",2,107,0.76%,0.007604832977967307
"60 TEATIME FAIRY CAKE CASES, PACK OF 72 RETRO SPOT CAKE CASES",2,478,3.40%,0.03397299218194741
"60 TEATIME FAIRY CAKE CASES, STRAWBERRY CERAMIC TRINKET BOX",2,223,1.58%,0.015849324804548686
"PACK OF 72 RETRO SPOT CAKE CASES, STRAWBERRY CERAMIC TRINKET BOX",2,168,1.19%,0.011940298507462687
"STRAWBERRY CERAMIC TRINKET BOX, WOODEN FRAME ANTIQUE WHITE",2,113,0.80%,0.008031272210376687
"WOOD 2 DRAWER CABINET WHITE FINISH, WOOD S/3 CABINET ANT WHITE FINISH",2,353,2.51%,0.025088841506751954
"WOOD 2 DRAWER CABINET WHITE FINISH, WOODEN FRAME ANTIQUE WHITE",2,297,2.11%,0.02110874200426439
"WOOD S/3 CABINET ANT WHITE FINISH, WOODEN FRAME ANTIQUE WHITE",2,314,2.23%,0.022316986496090974
"ASSORTED COLOUR BIRD ORNAMENT, RED HANGING HEART T-LIGHT HOLDER",2,121,0.86%,0.008599857853589197
"ASSORTED COLOUR BIRD ORNAMENT, WHITE HANGING HEART T-LIGHT HOLDER",2,390,2.77%,0.02771855010660981
"FAWN BLUE HOT WATER BOTTLE, HOT WATER BOTTLE TEA AND SYMPATHY",2,124,0.88%,0.008813077469793887
"BLUE 3 PIECE MINI DOTS CUTLERY SET, PINK 3 PIECE MINI DOTS CUTLERY SET",2,286,2.03%,0.02032693674484719
"PINK BLUE FELT CRAFT TRINKET BOX, PINK CREAM FELT CRAFT TRINKET BOX",2,347,2.47%,0.024662402274342573
"JUMBO BAG TOYS, JUMBO STORAGE BAG SUKI",2,178,1.27%,0.012651030561478323
"JUMBO STORAGE BAG SUKI, WHITE HANGING HEART T-LIGHT HOLDER",2,186,1.32%,0.013219616204690832
"PINK BLUE FELT CRAFT TRINKET BOX, WHITE HANGING HEART T-LIGHT HOLDER",2,115,0.82%,0.008173418621179816
"PINK CREAM FELT CRAFT TRINKET BOX, WHITE HANGING HEART T-LIGHT HOLDER",2,143,1.02%,0.010163468372423596
"VINTAGE HEADS AND TAILS CARD GAME, VINTAGE SNAP CARDS",2,334,2.37%,0.023738450604122247
"ANTIQUE SILVER TEA GLASS ETCHED, WHITE HANGING HEART T-LIGHT HOLDER",2,166,1.18%,0.01179815209665956
"CHOCOLATE THIS WAY METAL SIGN, HAND OVER THE CHOCOLATE   SIGN",2,198,1.41%,0.014072494669509595
"CHOCOLATE THIS WAY METAL SIGN, WHITE HANGING HEART T-LIGHT HOLDER",2,137,0.97%,0.009737029140014215
"HAND OVER THE CHOCOLATE   SIGN, WHITE HANGING HEART T-LIGHT HOLDER",2,245,1.74%,0.017412935323383085
"WHITE HANGING HEART T-LIGHT HOLDER, WOOD 2 DRAWER CABINET WHITE FINISH",2,272,1.93%,0.019331911869225303
"HOME BUILDING BLOCK WORD, ZINC METAL HEART DECORATION",2,125,0.89%,0.008884150675195452
"6 RIBBONS RUSTIC CHARM, ASSORTED COLOUR BIRD ORNAMENT",2,115,0.82%,0.008173418621179816
"ASSORTED COLOUR BIRD ORNAMENT, HEART FILIGREE DOVE  SMALL",2,111,0.79%,0.00788912579957356
"BLUE 3 PIECE MINI DOTS CUTLERY SET, RED 3 PIECE MINI DOTS CUTLERY SET",2,295,2.10%,0.020966595593461264
"CHOCOLATE THIS WAY METAL SIGN, COOK WITH WINE METAL SIGN",2,156,1.11%,0.011087420042643924
"CHOCOLATE THIS WAY METAL SIGN, GIN + TONIC DIET METAL SIGN",2,171,1.22%,0.012153518123667377
"CHOCOLATE THIS WAY METAL SIGN, NO SINGING METAL SIGN",2,123,0.87%,0.008742004264392323
"CHOCOLATE THIS WAY METAL SIGN, POTTERING IN THE SHED METAL SIGN",2,111,0.79%,0.00788912579957356
"COOK WITH WINE METAL SIGN, GIN + TONIC DIET METAL SIGN",2,311,2.21%,0.022103766879886282
"COOK WITH WINE METAL SIGN, HAND OVER THE CHOCOLATE   SIGN",2,245,1.74%,0.017412935323383085
"COOK WITH WINE METAL SIGN, LADIES & GENTLEMEN METAL SIGN",2,145,1.03%,0.010305614783226724
"COOK WITH WINE METAL SIGN, NO SINGING METAL SIGN",2,173,1.23%,0.012295664534470504
"COOK WITH WINE METAL SIGN, POTTERING IN THE SHED METAL SIGN",2,133,0.95%,0.00945273631840796
"GIN + TONIC DIET METAL SIGN, HAND OVER THE CHOCOLATE   SIGN",2,275,1.95%,0.01954513148542999
"GIN + TONIC DIET METAL SIGN, LADIES & GENTLEMEN METAL SIGN",2,171,1.22%,0.012153518123667377
"GIN + TONIC DIET METAL SIGN, NO SINGING METAL SIGN",2,220,1.56%,0.015636105188343994
"GIN + TONIC DIET METAL SIGN, POTTERING IN THE SHED METAL SIGN",2,151,1.07%,0.010732054015636105
"GREY HEART HOT WATER BOTTLE, SCOTTIE DOG HOT WATER BOTTLE",2,145,1.03%,0.010305614783226724
"HAND OVER THE CHOCOLATE   SIGN, LADIES & GENTLEMEN METAL SIGN",2,185,1.31%,0.013148542999289269
"HAND OVER THE CHOCOLATE   SIGN, NO SINGING METAL SIGN",2,246,1.75%,0.017484008528784647
"HAND OVER THE CHOCOLATE   SIGN, POTTERING IN THE SHED METAL SIGN",2,177,1.26%,0.01257995735607676
"HOT WATER BOTTLE TEA AND SYMPATHY, KNITTED UNION FLAG HOT WATER BOTTLE",2,147,1.04%,0.010447761194029851
"HOT WATER BOTTLE TEA AND SYMPATHY, WHITE SKULL HOT WATER BOTTLE",2,104,0.74%,0.0073916133617626155
"KNITTED UNION FLAG HOT WATER BOTTLE, SCOTTIE DOG HOT WATER BOTTLE",2,138,0.98%,0.009808102345415778
"KNITTED UNION FLAG HOT WATER BOTTLE, WHITE SKULL HOT WATER BOTTLE",2,101,0.72%,0.007178393745557924
"LADIES & GENTLEMEN METAL SIGN, NO SINGING METAL SIGN",2,190,1.35%,0.013503909026297086
"NO SINGING METAL SIGN, POTTERING IN THE SHED METAL SIGN",2,111,0.79%,0.00788912579957356
"PINK 3 PIECE MINI DOTS CUTLERY SET, RED 3 PIECE MINI DOTS CUTLERY SET",2,238,1.69%,0.01691542288557214
"SCOTTIE DOG HOT WATER BOTTLE, WHITE SKULL HOT WATER BOTTLE",2,113,0.80%,0.008031272210376687
"6 RIBBONS RUSTIC CHARM, WHITE HANGING HEART T-LIGHT HOLDER",2,147,1.04%,0.010447761194029851
"EDWARDIAN PARASOL BLACK, EDWARDIAN PARASOL NATURAL",2,264,1.88%,0.018763326226012792
"EDWARDIAN PARASOL BLACK, WHITE HANGING HEART T-LIGHT HOLDER",2,129,0.92%,0.009168443496801706
"EDWARDIAN PARASOL NATURAL, WHITE HANGING HEART T-LIGHT HOLDER",2,114,0.81%,0.00810234541577825
"RED HANGING HEART T-LIGHT HOLDER, ZINC METAL HEART DECORATION",2,120,0.85%,0.008528784648187633
"RETRO SPOT LARGE MILK JUG, WHITE HANGING HEART T-LIGHT HOLDER",2,121,0.86%,0.008599857853589197
"SET/5 RED SPOTTY LID GLASS BOWLS, WHITE HANGING HEART T-LIGHT HOLDER",2,185,1.31%,0.013148542999289269
"WHITE HANGING HEART T-LIGHT HOLDER, ZINC METAL HEART DECORATION",2,323,2.30%,0.022956645344705047
"COLOUR GLASS. STAR T-LIGHT HOLDER, WHITE HANGING HEART T-LIGHT HOLDER",2,174,1.24%,0.012366737739872069
"REX CASH+CARRY JUMBO SHOPPER, WHITE HANGING HEART T-LIGHT HOLDER",2,273,1.94%,0.019402985074626865
"WHITE HANGING HEART T-LIGHT HOLDER, WOOD S/3 CABINET ANT WHITE FINISH",2,285,2.03%,0.02025586353944563
"PACK OF 72 RETRO SPOT CAKE CASES, PAPER CHAIN KIT RETRO SPOT",2,117,0.83%,0.008315565031982943
"HANGING HEART ZINC T-LIGHT HOLDER, ZINC METAL HEART DECORATION",2,138,0.98%,0.009808102345415778
"LOVE BUILDING BLOCK WORD, ZINC METAL HEART DECORATION",2,100,0.71%,0.007107320540156361
"3 STRIPEY MICE FELTCRAFT, FELTCRAFT BUTTERFLY HEARTS",2,208,1.48%,0.014783226723525231
"JUMBO BAG OWLS, JUMBO BAG WOODLAND ANIMALS",2,173,1.23%,0.012295664534470504
"JUMBO BAG OWLS, JUMBO STORAGE BAG SUKI",2,252,1.79%,0.01791044776119403
"JUMBO BAG RED WHITE SPOTTY, JUMBO STORAGE BAG SUKI",2,131,0.93%,0.009310589907604833
"JUMBO BAG WOODLAND ANIMALS, JUMBO STORAGE BAG SUKI",2,168,1.19%,0.011940298507462687
"JUMBO STORAGE BAG SUKI, LUNCH BAG  BLACK SKULL.",2,193,1.37%,0.013717128642501776
"JUMBO STORAGE BAG SUKI, LUNCH BAG CARS BLUE",2,187,1.33%,0.013290689410092395
